@relation testset
@attribute over_draft {'<0','0<=X<200','>=200','no checking'}
@attribute credit_usage numeric
@attribute credit_history {'all paid','critical/other existing credit','delayed previously','existing paid','no credits/all paid'}
@attribute purpose {'business','domestic appliance','education','furniture/equipment','new car','other','radio/tv','repairs','retraining','used car'}
@attribute current_balance numeric
@attribute Average_Credit_Balance {'<100','>=1000','100<=X<500','500<=X<1000','no known savings'}
@attribute employment {'<1','1<=X<4','4<=X<7','>=7','unemployed'}
@attribute location numeric
@attribute personal_status {'female div/dep/mar','male div/sep','male mar/wid','male single'}
@attribute other_parties {'co applicant','guarantor','none'}
@attribute residence_since numeric
@attribute property_magnitude {'car','life insurance','no known property','real estate'}
@attribute cc_age numeric
@attribute other_payment_plans {'bank','none','stores'}
@attribute housing {'for free','own','rent'}
@attribute existing_credits numeric
@attribute job {'high qualif/self emp/mgmt','skilled','unemp/unskilled non res','unskilled resident'}
@attribute num_dependents numeric
@attribute own_telephone {'none','yes'}
@attribute foreign_worker {'no','yes'}
@attribute class {'bad','good'}
@data
'no checking',18,'existing paid','business',1568,'100<=X<500','1<=X<4',3,'female div/dep/mar','none',4,'life insurance',24,'none','rent',1,'unskilled resident',1,'none','yes','good'
'<0',12,'all paid','new car',697,'<100','<1',4,'male single','none',2,'car',46,'bank','own',2,'skilled',1,'yes','yes','bad'
'no checking',24,'existing paid','used car',6313,'no known savings','>=7',3,'male single','none',4,'car',41,'none','own',1,'high qualif/self emp/mgmt',2,'yes','yes','good'
'no checking',12,'existing paid','radio/tv',886,'no known savings','1<=X<4',4,'female div/dep/mar','none',2,'car',21,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',18,'delayed previously','repairs',6204,'<100','1<=X<4',2,'male single','none',4,'real estate',44,'none','own',1,'unskilled resident',2,'yes','yes','good'
'no checking',12,'no credits/all paid','furniture/equipment',2759,'<100','>=7',2,'male single','none',4,'life insurance',34,'none','own',2,'skilled',1,'none','yes','good'
'0<=X<200',18,'no credits/all paid','new car',2278,'100<=X<500','<1',3,'female div/dep/mar','none',3,'car',28,'none','own',2,'skilled',1,'none','yes','bad'
'<0',15,'existing paid','new car',3959,'<100','1<=X<4',3,'female div/dep/mar','none',2,'life insurance',29,'none','own',1,'skilled',1,'yes','yes','bad'
'no checking',48,'existing paid','business',3914,'no known savings','1<=X<4',4,'male div/sep','none',2,'real estate',38,'bank','own',1,'skilled',1,'none','yes','bad'
'0<=X<200',48,'delayed previously','other',7582,'100<=X<500','unemployed',2,'male single','none',4,'no known property',31,'none','for free',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',9,'existing paid','furniture/equipment',1313,'<100','>=7',1,'male single','none',4,'car',20,'none','own',1,'skilled',1,'none','yes','good'
'no checking',10,'existing paid','new car',1418,'100<=X<500','1<=X<4',3,'male single','none',2,'real estate',35,'none','rent',1,'unskilled resident',1,'none','no','good'
'0<=X<200',12,'no credits/all paid','furniture/equipment',2969,'<100','<1',4,'female div/dep/mar','none',3,'life insurance',25,'none','rent',2,'skilled',1,'none','yes','bad'
'>=200',6,'existing paid','furniture/equipment',2116,'<100','1<=X<4',2,'male single','none',2,'real estate',41,'none','own',1,'skilled',1,'yes','yes','good'
'>=200',12,'all paid','business',609,'<100','<1',4,'female div/dep/mar','none',1,'real estate',26,'none','own',1,'unemp/unskilled non res',1,'none','yes','bad'
'0<=X<200',36,'delayed previously','business',4455,'<100','1<=X<4',2,'male div/sep','none',2,'real estate',30,'stores','own',2,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'0<=X<200',9,'existing paid','new car',1549,'no known savings','<1',4,'male single','none',2,'real estate',35,'none','own',1,'unemp/unskilled non res',1,'none','yes','good'
'no checking',7,'delayed previously','radio/tv',846,'no known savings','>=7',3,'male single','none',4,'no known property',36,'none','for free',1,'skilled',1,'none','yes','good'
'<0',6,'critical/other existing credit','new car',3676,'<100','1<=X<4',1,'male single','none',3,'real estate',37,'none','rent',3,'skilled',2,'none','yes','good'
'<0',12,'existing paid','new car',1372,'<100','4<=X<7',2,'male div/sep','none',3,'car',36,'none','own',1,'skilled',1,'none','yes','bad'
'0<=X<200',30,'existing paid','new car',2150,'<100','1<=X<4',4,'female div/dep/mar','guarantor',2,'no known property',24,'bank','own',1,'skilled',1,'none','yes','bad'
'<0',10,'critical/other existing credit','new car',2241,'<100','<1',1,'male single','none',3,'real estate',48,'none','rent',2,'unskilled resident',2,'none','no','good'
'<0',48,'all paid','business',7685,'<100','4<=X<7',2,'female div/dep/mar','guarantor',4,'car',37,'none','rent',1,'skilled',1,'none','yes','bad'
'no checking',6,'critical/other existing credit','radio/tv',1382,'<100','1<=X<4',1,'female div/dep/mar','none',1,'car',28,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',24,'critical/other existing credit','used car',2197,'no known savings','4<=X<7',4,'male single','none',4,'car',43,'none','own',2,'skilled',2,'yes','yes','good'
'0<=X<200',21,'delayed previously','new car',2353,'<100','1<=X<4',1,'male div/sep','none',4,'life insurance',47,'none','own',2,'skilled',1,'none','yes','good'
'0<=X<200',27,'delayed previously','used car',5965,'<100','>=7',1,'male single','none',2,'car',30,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',27,'critical/other existing credit','furniture/equipment',4526,'>=1000','<1',4,'male single','none',2,'real estate',32,'stores','own',2,'unskilled resident',2,'yes','yes','good'
'0<=X<200',18,'critical/other existing credit','business',1887,'no known savings','1<=X<4',4,'male mar/wid','none',4,'real estate',28,'bank','own',2,'skilled',1,'none','yes','good'
'<0',15,'existing paid','domestic appliance',1275,'no known savings','1<=X<4',4,'female div/dep/mar','none',2,'car',24,'none','rent',1,'skilled',1,'none','yes','bad'
'<0',24,'existing paid','other',1755,'<100','>=7',4,'female div/dep/mar','guarantor',4,'real estate',58,'none','own',1,'unskilled resident',1,'yes','yes','good'
'0<=X<200',12,'existing paid','radio/tv',6468,'no known savings','unemployed',2,'male single','none',1,'no known property',52,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'no checking',24,'existing paid','radio/tv',1552,'<100','4<=X<7',3,'male single','none',1,'car',32,'bank','own',1,'skilled',2,'none','yes','good'
'0<=X<200',18,'existing paid','business',2622,'100<=X<500','1<=X<4',4,'male single','none',4,'car',34,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',15,'delayed previously','repairs',1512,'>=1000','1<=X<4',3,'male mar/wid','none',3,'life insurance',61,'stores','own',2,'skilled',1,'none','yes','bad'
'no checking',7,'critical/other existing credit','radio/tv',730,'no known savings','>=7',4,'male single','none',2,'life insurance',46,'none','rent',2,'unskilled resident',1,'yes','yes','good'
'no checking',15,'critical/other existing credit','used car',3368,'>=1000','>=7',3,'male single','none',4,'no known property',23,'none','rent',2,'skilled',1,'yes','yes','good'
'0<=X<200',12,'existing paid','radio/tv',1567,'<100','1<=X<4',1,'female div/dep/mar','none',1,'car',22,'none','own',1,'skilled',1,'yes','yes','good'
'<0',45,'no credits/all paid','business',11816,'<100','>=7',2,'male single','none',4,'car',29,'none','rent',2,'skilled',1,'none','yes','bad'
'<0',33,'critical/other existing credit','furniture/equipment',4281,'500<=X<1000','1<=X<4',1,'female div/dep/mar','none',4,'car',23,'none','own',2,'skilled',1,'none','yes','bad'
'0<=X<200',9,'critical/other existing credit','education',1136,'>=1000','>=7',4,'male single','none',3,'no known property',32,'none','for free',2,'skilled',2,'none','yes','bad'
'0<=X<200',10,'existing paid','new car',7308,'<100','unemployed',2,'male single','none',4,'no known property',70,'bank','for free',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',24,'critical/other existing credit','used car',6419,'<100','>=7',2,'female div/dep/mar','none',4,'no known property',44,'none','for free',2,'high qualif/self emp/mgmt',2,'yes','yes','good'
'0<=X<200',9,'all paid','used car',5129,'<100','>=7',2,'female div/dep/mar','none',4,'no known property',74,'bank','for free',1,'high qualif/self emp/mgmt',2,'yes','yes','bad'
'0<=X<200',15,'all paid','new car',6850,'100<=X<500','unemployed',1,'male single','none',2,'life insurance',34,'none','own',1,'high qualif/self emp/mgmt',2,'yes','yes','bad'
'0<=X<200',36,'delayed previously','new car',2862,'100<=X<500','>=7',4,'male single','none',3,'no known property',30,'none','for free',1,'skilled',1,'none','yes','good'
'0<=X<200',6,'existing paid','radio/tv',590,'<100','<1',3,'male mar/wid','none',3,'real estate',26,'none','own',1,'unskilled resident',1,'none','no','good'
'0<=X<200',18,'critical/other existing credit','radio/tv',1245,'<100','1<=X<4',4,'male mar/wid','none',2,'car',33,'none','own',1,'skilled',1,'none','yes','bad'
'<0',12,'existing paid','furniture/equipment',1858,'<100','<1',4,'female div/dep/mar','none',1,'car',22,'none','rent',1,'skilled',1,'none','yes','good'
'no checking',4,'critical/other existing credit','new car',3380,'<100','4<=X<7',1,'female div/dep/mar','none',1,'real estate',37,'none','own',1,'skilled',2,'none','yes','good'
'0<=X<200',18,'existing paid','new car',5866,'100<=X<500','1<=X<4',2,'male single','none',2,'car',30,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',6,'critical/other existing credit','new car',362,'100<=X<500','1<=X<4',4,'female div/dep/mar','none',4,'car',52,'none','own',2,'unskilled resident',1,'none','yes','good'
'<0',24,'all paid','furniture/equipment',3349,'500<=X<1000','<1',4,'male single','none',4,'no known property',30,'none','for free',1,'skilled',2,'yes','yes','bad'
'no checking',24,'existing paid','new car',7393,'<100','1<=X<4',1,'male single','none',4,'life insurance',43,'none','own',1,'unskilled resident',2,'none','yes','good'
'<0',15,'existing paid','furniture/equipment',1845,'<100','<1',4,'female div/dep/mar','guarantor',1,'life insurance',46,'none','rent',1,'skilled',1,'none','yes','good'
'0<=X<200',48,'existing paid','radio/tv',3979,'no known savings','4<=X<7',4,'male single','none',1,'car',41,'none','own',2,'skilled',2,'yes','yes','good'
'0<=X<200',18,'existing paid','repairs',3872,'<100','unemployed',2,'female div/dep/mar','none',4,'car',67,'none','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',9,'existing paid','furniture/equipment',2030,'no known savings','4<=X<7',2,'male single','none',1,'car',24,'none','own',1,'skilled',1,'yes','yes','good'
'no checking',60,'existing paid','new car',10366,'<100','>=7',2,'male single','none',4,'life insurance',42,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',24,'critical/other existing credit','radio/tv',5103,'<100','<1',3,'male mar/wid','none',3,'no known property',47,'none','for free',3,'skilled',1,'yes','yes','good'
'<0',27,'existing paid','radio/tv',3416,'<100','1<=X<4',3,'male single','none',2,'car',27,'none','own',1,'high qualif/self emp/mgmt',1,'none','yes','good'
'0<=X<200',48,'no credits/all paid','other',18424,'<100','1<=X<4',1,'female div/dep/mar','none',2,'life insurance',32,'bank','own',1,'high qualif/self emp/mgmt',1,'yes','no','bad'
'<0',18,'all paid','radio/tv',1940,'<100','<1',3,'male single','co applicant',4,'no known property',36,'bank','for free',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'0<=X<200',30,'existing paid','radio/tv',2991,'no known savings','>=7',2,'female div/dep/mar','none',4,'car',25,'none','own',1,'skilled',1,'none','yes','good'
'0<=X<200',9,'critical/other existing credit','education',1501,'<100','>=7',2,'female div/dep/mar','none',3,'car',34,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','bad'
'no checking',6,'delayed previously','business',1743,'100<=X<500','1<=X<4',1,'male single','none',2,'real estate',34,'none','own',2,'unskilled resident',1,'none','yes','good'
'no checking',15,'existing paid','domestic appliance',1262,'500<=X<1000','4<=X<7',4,'male single','none',3,'life insurance',36,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',36,'delayed previously','business',9572,'<100','<1',1,'male div/sep','none',1,'car',28,'none','own',2,'skilled',1,'none','yes','bad'
'no checking',18,'critical/other existing credit','new car',2775,'<100','4<=X<7',2,'male single','none',2,'life insurance',31,'bank','own',2,'skilled',1,'none','yes','bad'
'no checking',12,'existing paid','new car',2859,'no known savings','unemployed',4,'male single','none',4,'no known property',38,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',24,'existing paid','used car',2964,'no known savings','>=7',4,'male single','none',4,'no known property',49,'bank','for free',1,'skilled',2,'yes','yes','good'
'no checking',48,'critical/other existing credit','education',6110,'<100','1<=X<4',1,'male single','none',3,'no known property',31,'bank','for free',1,'skilled',1,'yes','yes','good'
'no checking',15,'critical/other existing credit','radio/tv',1829,'<100','>=7',4,'male single','none',4,'car',46,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',12,'critical/other existing credit','furniture/equipment',5801,'no known savings','>=7',2,'male single','none',4,'life insurance',49,'none','rent',1,'skilled',1,'yes','yes','good'
'no checking',18,'critical/other existing credit','used car',3229,'no known savings','unemployed',2,'male single','none',4,'no known property',38,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'<0',15,'critical/other existing credit','furniture/equipment',1433,'<100','1<=X<4',4,'female div/dep/mar','none',3,'life insurance',25,'none','rent',2,'skilled',1,'none','yes','good'
'>=200',30,'critical/other existing credit','radio/tv',3017,'<100','>=7',4,'male single','none',4,'life insurance',47,'none','own',1,'skilled',1,'none','yes','good'
'no checking',15,'existing paid','new car',3186,'>=1000','4<=X<7',2,'female div/dep/mar','none',3,'car',20,'none','rent',1,'skilled',1,'none','yes','good'
'<0',18,'critical/other existing credit','furniture/equipment',1049,'<100','<1',4,'female div/dep/mar','none',4,'life insurance',21,'none','rent',1,'skilled',1,'none','yes','good'
'no checking',12,'existing paid','used car',4675,'no known savings','<1',1,'female div/dep/mar','none',4,'car',20,'none','rent',1,'skilled',1,'none','yes','good'
'0<=X<200',24,'all paid','education',1837,'<100','4<=X<7',4,'female div/dep/mar','none',4,'no known property',34,'bank','for free',1,'unskilled resident',1,'none','yes','bad'
'<0',24,'delayed previously','new car',1333,'<100','unemployed',4,'male single','none',2,'real estate',43,'none','for free',2,'skilled',2,'none','yes','bad'
'<0',24,'existing paid','new car',1285,'no known savings','4<=X<7',4,'female div/dep/mar','none',4,'no known property',32,'none','rent',1,'skilled',1,'none','yes','bad'
'no checking',18,'delayed previously','radio/tv',2320,'<100','unemployed',2,'male mar/wid','none',3,'real estate',34,'none','own',2,'skilled',1,'none','yes','good'
'no checking',12,'critical/other existing credit','radio/tv',976,'no known savings','>=7',4,'male single','none',4,'car',35,'none','own',2,'skilled',1,'none','yes','good'
'<0',36,'delayed previously','business',2145,'<100','4<=X<7',2,'male single','none',1,'car',24,'none','own',2,'skilled',1,'yes','yes','bad'
'no checking',10,'existing paid','furniture/equipment',2210,'<100','1<=X<4',2,'male single','none',2,'real estate',25,'bank','rent',1,'unskilled resident',1,'none','yes','bad'
'no checking',36,'critical/other existing credit','used car',5711,'>=1000','>=7',4,'male single','none',2,'car',38,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','good'
'0<=X<200',18,'existing paid','business',1913,'>=1000','<1',3,'male mar/wid','none',3,'real estate',36,'bank','own',1,'skilled',1,'yes','yes','good'
'no checking',9,'existing paid','radio/tv',2753,'100<=X<500','>=7',3,'male single','co applicant',4,'car',35,'none','own',1,'skilled',1,'yes','yes','good'
'no checking',36,'delayed previously','new car',10875,'<100','>=7',2,'male single','none',2,'car',45,'none','own',2,'skilled',2,'yes','yes','good'
'0<=X<200',9,'existing paid','education',1199,'<100','4<=X<7',4,'female div/dep/mar','none',4,'life insurance',67,'none','own',2,'high qualif/self emp/mgmt',1,'yes','yes','good'
'no checking',9,'critical/other existing credit','education',1244,'no known savings','>=7',4,'female div/dep/mar','none',4,'life insurance',41,'none','rent',2,'unskilled resident',1,'none','yes','good'
'<0',18,'existing paid','new car',2249,'100<=X<500','4<=X<7',4,'male single','none',3,'car',30,'none','own',1,'high qualif/self emp/mgmt',2,'yes','yes','good'
'no checking',24,'critical/other existing credit','used car',2346,'<100','4<=X<7',4,'male single','none',3,'car',35,'none','own',2,'skilled',1,'yes','yes','good'
'>=200',24,'critical/other existing credit','business',1275,'>=1000','1<=X<4',2,'male div/sep','none',4,'real estate',36,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',24,'critical/other existing credit','new car',2463,'100<=X<500','4<=X<7',4,'male mar/wid','none',3,'life insurance',27,'none','own',2,'skilled',1,'yes','yes','good'
'0<=X<200',30,'no credits/all paid','business',4221,'<100','1<=X<4',2,'female div/dep/mar','none',1,'car',28,'none','own',2,'skilled',1,'none','yes','good'
'no checking',24,'critical/other existing credit','used car',3868,'<100','>=7',4,'female div/dep/mar','none',2,'car',41,'none','rent',2,'high qualif/self emp/mgmt',1,'yes','yes','good'
'0<=X<200',30,'critical/other existing credit','new car',5234,'<100','unemployed',4,'male mar/wid','none',2,'car',28,'none','own',2,'high qualif/self emp/mgmt',1,'none','yes','bad'
'0<=X<200',12,'critical/other existing credit','new car',958,'<100','4<=X<7',2,'male single','none',3,'real estate',47,'none','own',2,'unskilled resident',2,'none','yes','good'
'no checking',12,'existing paid','furniture/equipment',1768,'<100','1<=X<4',3,'male single','none',2,'real estate',24,'none','rent',1,'unskilled resident',1,'none','yes','good'
'0<=X<200',10,'all paid','radio/tv',1048,'<100','1<=X<4',4,'male single','none',4,'real estate',23,'stores','own',1,'unskilled resident',1,'none','yes','good'
'<0',24,'existing paid','radio/tv',3660,'<100','1<=X<4',2,'female div/dep/mar','none',4,'car',28,'none','own',1,'skilled',1,'none','yes','good'
'>=200',24,'existing paid','radio/tv',5152,'<100','4<=X<7',4,'male single','none',2,'car',25,'bank','own',1,'skilled',1,'none','yes','good'
'>=200',18,'all paid','radio/tv',1445,'no known savings','4<=X<7',4,'male single','none',4,'car',49,'bank','own',1,'unskilled resident',1,'none','yes','good'
'<0',24,'no credits/all paid','furniture/equipment',4110,'<100','>=7',3,'male single','none',4,'no known property',23,'bank','rent',2,'skilled',2,'none','yes','bad'
'no checking',12,'critical/other existing credit','radio/tv',1240,'no known savings','>=7',4,'female div/dep/mar','none',2,'real estate',38,'none','own',2,'skilled',1,'yes','yes','good'
'no checking',21,'critical/other existing credit','used car',3275,'<100','>=7',1,'male single','none',4,'car',36,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'0<=X<200',15,'existing paid','repairs',1308,'<100','>=7',4,'male single','none',4,'car',38,'none','own',2,'unskilled resident',1,'none','yes','good'
'no checking',11,'existing paid','business',2142,'>=1000','>=7',1,'male div/sep','none',2,'real estate',28,'none','own',1,'skilled',1,'yes','yes','good'
'no checking',22,'existing paid','new car',1283,'no known savings','4<=X<7',4,'female div/dep/mar','none',4,'life insurance',25,'none','rent',1,'skilled',1,'none','yes','good'
'0<=X<200',12,'existing paid','new car',1295,'<100','<1',3,'female div/dep/mar','none',1,'car',25,'none','rent',1,'skilled',1,'none','yes','bad'
'<0',24,'existing paid','new car',1442,'<100','4<=X<7',4,'female div/dep/mar','none',4,'car',23,'none','rent',2,'skilled',1,'none','yes','bad'
'<0',12,'existing paid','new car',1228,'<100','1<=X<4',4,'female div/dep/mar','none',2,'real estate',24,'none','own',1,'unskilled resident',1,'none','yes','bad'
'0<=X<200',48,'existing paid','radio/tv',10961,'>=1000','4<=X<7',1,'male single','co applicant',2,'no known property',27,'bank','own',2,'skilled',1,'yes','yes','bad'
'no checking',24,'critical/other existing credit','radio/tv',1851,'<100','4<=X<7',4,'male mar/wid','guarantor',2,'car',33,'none','own',2,'skilled',1,'yes','yes','good'
'0<=X<200',36,'existing paid','radio/tv',4795,'<100','<1',4,'female div/dep/mar','none',1,'no known property',30,'none','own',1,'high qualif/self emp/mgmt',1,'yes','yes','good'
'0<=X<200',48,'existing paid','radio/tv',3060,'<100','4<=X<7',4,'male single','none',4,'real estate',28,'none','own',2,'skilled',1,'none','yes','bad'
'0<=X<200',11,'existing paid','furniture/equipment',1577,'>=1000','<1',4,'female div/dep/mar','none',1,'real estate',20,'none','own',1,'skilled',1,'none','yes','good'
'no checking',48,'all paid','business',3609,'<100','1<=X<4',1,'female div/dep/mar','none',1,'real estate',27,'stores','own',1,'skilled',1,'none','yes','good'
'0<=X<200',10,'existing paid','furniture/equipment',1521,'<100','1<=X<4',4,'male div/sep','none',2,'car',31,'none','own',1,'unskilled resident',1,'none','yes','good'
'<0',24,'existing paid','furniture/equipment',3234,'<100','<1',4,'female div/dep/mar','none',4,'real estate',23,'none','rent',1,'unskilled resident',1,'yes','yes','bad'
'no checking',24,'critical/other existing credit','repairs',5507,'<100','>=7',3,'male single','none',4,'no known property',44,'none','for free',2,'skilled',1,'none','yes','good'
'no checking',10,'existing paid','new car',1546,'<100','1<=X<4',3,'male single','none',2,'real estate',31,'none','own',1,'unskilled resident',2,'none','no','good'
'no checking',10,'existing paid','education',727,'500<=X<1000','>=7',4,'male single','none',4,'no known property',46,'none','for free',1,'skilled',1,'yes','yes','good'
'no checking',12,'critical/other existing credit','radio/tv',1655,'<100','>=7',2,'male single','none',4,'real estate',63,'none','own',2,'unskilled resident',1,'yes','yes','good'
'no checking',24,'existing paid','radio/tv',1311,'100<=X<500','4<=X<7',4,'male mar/wid','none',3,'life insurance',26,'none','own',1,'skilled',1,'yes','yes','good'
'0<=X<200',30,'critical/other existing credit','new car',2181,'no known savings','>=7',4,'male single','none',4,'real estate',36,'none','own',2,'skilled',1,'none','yes','good'
'no checking',18,'all paid','new car',6458,'<100','>=7',2,'male single','none',4,'no known property',39,'bank','own',2,'high qualif/self emp/mgmt',2,'yes','yes','bad'
'<0',24,'existing paid','radio/tv',2439,'<100','<1',4,'female div/dep/mar','none',4,'real estate',35,'none','own',1,'skilled',1,'yes','yes','bad'
'no checking',21,'delayed previously','business',2580,'500<=X<1000','<1',4,'male single','none',2,'real estate',41,'bank','own',1,'unskilled resident',2,'none','yes','bad'
'0<=X<200',24,'delayed previously','radio/tv',6403,'<100','<1',1,'male single','none',2,'car',33,'none','own',1,'skilled',1,'none','yes','good'
'<0',24,'all paid','new car',2325,'100<=X<500','4<=X<7',2,'male single','none',3,'car',32,'bank','own',1,'skilled',1,'none','yes','good'
